13104,"16307","1630718","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(18ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１８階）",0,0,0,0,2,6
13104,"16307","1630719","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(19ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１９階）",0,0,0,0,2,6
13104,"16307","1630720","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(20ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２０階）",0,0,0,0,2,6
13104,"16307","1630721","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(21ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２１階）",0,0,0,0,2,6
13104,"16307","1630722","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(22ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２２階）",0,0,0,0,2,6
13104,"16307","1630723","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(23ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２３階）",0,0,0,0,2,6
13104,"16307","1630724","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(24ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２４階）",0,0,0,0,2,6
13104,"16307","1630725","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(25ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２５階）",0,0,0,0,2,6
13104,"16307","1630726","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(26ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２６階）",0,0,0,0,2,6
40137,"81111","8111124","ﾌｸｵｶｹﾝ","ﾌｸｵｶｼｻﾜﾗｸ","ｶﾅﾀｹ","福岡県","福岡市早良区","金武",0,0,0,0,2,6
