13209,"194  ","1940031","ﾄｳｷｮｳﾄ","ﾏﾁﾀﾞｼ","ﾐﾅﾐｵｵﾔ","東京都","町田市","南大谷",0,0,0,0,2,6
27203,"560  ","5600032","ｵｵｻｶﾌ","ﾄﾖﾅｶｼ","ﾎﾀﾙｶﾞｲｹﾋｶﾞｼﾏﾁ","大阪府","豊中市","蛍池東町",0,0,0,0,2,6
27203,"560  ","5600036","ｵｵｻｶﾌ","ﾄﾖﾅｶｼ","ﾎﾀﾙｶﾞｲｹﾆｼﾏﾁ","大阪府","豊中市","蛍池西町",0,0,0,0,2,6
27203,"560  ","5600034","ｵｵｻｶﾌ","ﾄﾖﾅｶｼ","ﾎﾀﾙｶﾞｲｹﾐﾅﾐﾏﾁ","大阪府","豊中市","蛍池南町",0,0,0,0,2,6
27203,"560  ","5600031","ｵｵｻｶﾌ","ﾄﾖﾅｶｼ","ﾎﾀﾙｶﾞｲｹｷﾀﾏﾁ","大阪府","豊中市","蛍池北町",0,0,0,0,2,6
27203,"560  ","5600033","ｵｵｻｶﾌ","ﾄﾖﾅｶｼ","ﾎﾀﾙｶﾞｲｹﾅｶﾏﾁ","大阪府","豊中市","蛍池中町",0,0,0,0,2,6
