21212,"50954","5095403","ｷﾞﾌｹﾝ","ﾄｷｼ","ﾋﾀﾞﾁｮｳﾋﾀﾞ(286-287ﾊﾞﾝﾁ)","岐阜県","土岐市","肥田町肥田（２８６～２８７番地）",1,0,0,1,2,6
23201,"440  ","4400833","ｱｲﾁｹﾝ","ﾄﾖﾊｼｼ","ｲﾑﾚﾁｮｳﾆｼﾔﾏ､ﾀｶﾔﾏ","愛知県","豊橋市","飯村町西山、高山",0,1,0,0,2,6
23201,"440  ","4400032","ｱｲﾁｹﾝ","ﾄﾖﾊｼｼ","ｲﾜﾀﾁｮｳｲﾑﾗ､ｷﾀｺﾞｳﾅｶ","愛知県","豊橋市","岩田町居村、北郷中",0,1,0,0,2,6
23201,"440  ","4400041","ｱｲﾁｹﾝ","ﾄﾖﾊｼｼ","ｲﾜﾀﾁｮｳﾐﾔｼﾀ､ﾐﾁｱｲ","愛知県","豊橋市","岩田町宮下、道合",0,1,0,0,2,6
23233,"452  ","4520961","ｱｲﾁｹﾝ","ｷﾖｽｼ","ﾊﾙﾋﾕﾒﾉﾓﾘ","愛知県","清須市","春日夢の森",0,0,0,1,2,6
44201,"870  ","8700836","ｵｵｲﾀｹﾝ","ｵｵｲﾀｼ","ｳｴﾉﾐﾅﾐ","大分県","大分市","上野南",0,0,0,0,2,6
44201,"870  ","8700881","ｵｵｲﾀｹﾝ","ｵｵｲﾀｼ","ﾌｶｶﾞﾜｳﾁ","大分県","大分市","深河内",0,0,0,0,2,6
44202,"874  ","8740842","ｵｵｲﾀｹﾝ","ﾍﾞｯﾌﾟｼ","ｵｸﾞﾗ","大分県","別府市","小倉",0,0,0,0,2,6
44202,"874  ","8740913","ｵｵｲﾀｹﾝ","ﾍﾞｯﾌﾟｼ","ﾊﾙｷ","大分県","別府市","春木",0,0,0,0,2,6
44202,"874  ","8740912","ｵｵｲﾀｹﾝ","ﾍﾞｯﾌﾟｼ","ﾐﾅﾐｽｶ","大分県","別府市","南須賀",0,0,0,0,2,6
